0	202
2.5	202.1
5	202.199
7.5	202.298
10	202.396
12.5	202.492
15	202.586
17.5	202.678
20	202.768
22.5	202.854
25	202.937
27.5	203.017
30	203.092
32.5	203.163
35	203.228
37.5	203.289
40	203.344
42.5	203.393
45	203.435
47.5	203.471
50	203.5
52.5	203.521
55	203.535
57.5	203.543
60	203.544
62.5	203.539
65	203.529
67.5	203.513
70	203.492
72.5	203.467
75	203.437
77.5	203.404
80	203.368
82.5	203.329
85	203.287
87.5	203.242
90	203.196
92.5	203.148
95	203.1
97.5	203.05
100	203
102.5	202.95
105	202.901
107.5	202.855
110	202.812
112.5	202.773
115	202.74
117.5	202.714
120	202.696
122.5	202.687
125	202.688
127.5	202.7
130	202.724
132.5	202.762
135	202.815
137.5	202.883
140	202.968
142.5	203.072
145	203.194
147.5	203.336
150	203.5
152.5	203.687
155	203.888
157.5	204.094
160	204.296
162.5	204.485
165	204.651
167.5	204.786
170	204.881
172.5	204.925
175	204.911
177.5	204.829
180	204.67
182.5	204.426
185	204.088
187.5	203.651
190	203.109
192.5	202.458
195	201.695
197.5	200.82
200	199.833
202.5	198.367
205	196.741
207.5	194.979
210	193.101
212.5	191.126
215	189.067
217.5	186.936
220	184.744
222.5	182.501
225	180.211
227.5	177.881
230	175.517
232.5	173.123
235	170.704
237.5	168.263
240	165.805
242.5	163.328
245	160.84
247.5	158.341
250	155.833
252.5	152.938
255	150.035
257.5	147.125
260	144.209
262.5	141.287
265	138.359
267.5	135.426
270	132.488
272.5	129.546
275	126.601
277.5	123.651
280	120.699
282.5	117.743
285	114.784
287.5	111.823
290	108.86
292.5	105.897
295	102.931
297.5	99.966
300	97
