0	197
2.5	197.152
5	197.305
7.5	197.459
10	197.614
12.5	197.771
15	197.931
17.5	198.093
20	198.259
22.5	198.429
25	198.603
27.5	198.781
30	198.965
32.5	199.154
35	199.349
37.5	199.551
40	199.759
42.5	199.975
45	200.197
47.5	200.428
50	200.667
52.5	200.925
55	201.189
57.5	201.453
60	201.714
62.5	201.967
65	202.209
67.5	202.436
70	202.644
72.5	202.828
75	202.985
77.5	203.111
80	203.201
82.5	203.252
85	203.26
87.5	203.22
90	203.128
92.5	202.981
95	202.774
97.5	202.504
100	202.167
102.5	201.759
105	201.289
107.5	200.766
110	200.199
112.5	199.598
115	198.97
117.5	198.324
120	197.668
122.5	197.011
125	196.359
127.5	195.723
130	195.109
132.5	194.527
135	193.986
137.5	193.496
140	193.067
142.5	192.709
145	192.432
147.5	192.248
150	192.167
152.5	192.194
155	192.315
157.5	192.515
160	192.778
162.5	193.091
165	193.437
167.5	193.803
170	194.175
172.5	194.538
175	194.879
177.5	195.182
180	195.434
182.5	195.619
185	195.722
187.5	195.728
190	195.621
192.5	195.389
195	195.019
197.5	194.502
200	193.833
202.5	192.747
205	191.443
207.5	189.956
210	188.317
212.5	186.55
215	184.675
217.5	182.712
220	180.672
222.5	178.568
225	176.409
227.5	174.205
230	171.961
232.5	169.684
235	167.379
237.5	165.049
240	162.699
242.5	160.333
245	157.954
247.5	155.563
250	153.167
252.5	150.393
255	147.614
257.5	144.829
260	142.04
262.5	139.246
265	136.448
267.5	133.645
270	130.84
272.5	128.031
275	125.219
277.5	122.405
280	119.589
282.5	116.77
285	113.95
287.5	111.127
290	108.303
292.5	105.478
295	102.652
297.5	99.8265
300	97
